id,sentiment
"12311_10",0.9720953106880188
"8348_2",0.02675664983689785
"5828_4",0.29099416732788086
"7186_2",0.5801321864128113
"12128_7",0.9560728669166565
"2913_8",0.9356673955917358
"4396_1",0.08185938000679016
"395_2",0.6923230290412903
"10616_1",0.01743072085082531
"9074_9",0.46564945578575134
"9252_3",0.03982727974653244
"9896_9",0.3436559736728668
"574_4",0.13603897392749786
"11182_8",0.8421483039855957
"11656_4",0.4956280589103699
"2322_4",0.8557756543159485
"8703_1",0.1721550077199936
"7483_1",0.053173743188381195
"6007_10",0.9665330648422241
"12424_4",0.028962373733520508
"4672_1",0.027697404846549034
"10841_3",0.1841832399368286
"8954_7",0.221521258354187
"7392_1",0.03972719609737396
"10288_8",0.9709227085113525
"5343_4",0.03653295338153839
"4950_1",0.01739634945988655
"9257_4",0.7173029184341431
"8689_3",0.028208762407302856
"4480_2",0.08655504882335663
"9286_10",0.9624488353729248
"12245_10",0.9804903864860535
"7529_7",0.8779818415641785
"4_4",0.055246416479349136
"5299_2",0.049985576421022415
"12077_8",0.8977891802787781
"10701_2",0.029829690232872963
"11579_1",0.04263520985841751
"10993_1",0.1323135942220688
"8913_1",0.2632550001144409
"1350_3",0.04766228049993515
"3804_2",0.028376318514347076
"5025_3",0.32340940833091736
"5170_8",0.703041136264801
"8225_8",0.9721996188163757
"6427_7",0.9677169322967529
"3165_3",0.6181983351707458
"7902_9",0.9781467318534851
"8208_3",0.04373900219798088
"3577_8",0.8449190258979797
"4865_1",0.03465805575251579
"9063_3",0.6843093037605286
"1106_1",0.2842465937137604
"1117_9",0.9746717810630798
"1050_4",0.18449491262435913
"10755_9",0.9684199690818787
"2729_8",0.9630508422851562
"10072_10",0.9790202975273132
"2904_7",0.9712434411048889
"4584_2",0.8189654350280762
"189_4",0.15652957558631897
"6302_4",0.2946515679359436
"8138_9",0.3548954427242279
"1262_1",0.04948221519589424
"2199_10",0.9750911593437195
"6551_7",0.9444413185119629
"8082_7",0.07177557051181793
"4897_8",0.9780853986740112
"7360_1",0.04363979771733284
"11012_10",0.9647220969200134
"12046_1",0.49726393818855286
"2331_2",0.7242547273635864
"8961_9",0.9717276692390442
"751_7",0.8984745740890503
"9884_10",0.8353772759437561
"10016_8",0.9700619578361511
"8023_10",0.954805314540863
"2628_1",0.026121649891138077
"5832_1",0.026818271726369858
"7302_1",0.028859518468379974
"4501_3",0.056133683770895004
"1121_7",0.8676855564117432
"8334_3",0.189591184258461
"9789_10",0.4554746150970459
"4230_10",0.8998643159866333
"824_4",0.04467782750725746
"6803_9",0.9699965715408325
"3086_7",0.9435194730758667
"1135_8",0.9653387069702148
"10136_1",0.038343410938978195
"11129_3",0.058784760534763336
"2072_8",0.6932334899902344
"9501_7",0.9776729345321655
"319_10",0.9540132284164429
"1693_7",0.9698193073272705
"10886_1",0.032254405319690704
"9406_8",0.9470088481903076
"10376_10",0.0682494267821312
"9902_1",0.10416419059038162
"9938_8",0.16634170711040497
"7080_9",0.9608602523803711
"11944_8",0.8228526711463928
"5249_1",0.03177517279982567
"9599_2",0.1815893054008484
"9620_1",0.16125868260860443
"11244_1",0.04397553950548172
"6841_10",0.9737541675567627
"10050_4",0.6183207631111145
"10512_9",0.8459200263023376
"11327_3",0.029519613832235336
"10681_8",0.9531641602516174
"808_3",0.4316854178905487
"546_7",0.9768948554992676
"10765_1",0.029667044058442116
"7189_9",0.7683694958686829
"6005_9",0.9805355072021484
"11915_9",0.9706007242202759
"5740_10",0.917395830154419
"7097_10",0.1307050734758377
"9573_10",0.5075220465660095
"5084_4",0.12697933614253998
"12332_7",0.6781785488128662
"8154_1",0.059141941368579865
"5610_1",0.06762123852968216
"5323_9",0.9768775701522827
"11034_8",0.9729687571525574
"3977_2",0.05866565182805061
"12380_7",0.2535283863544464
"1737_8",0.9753515720367432
"6030_9",0.8537428975105286
"5918_7",0.9521549344062805
"7061_9",0.8880192637443542
"266_8",0.9589300751686096
"1375_10",0.9467733502388
"8648_3",0.021229837089776993
"10146_10",0.9717603921890259
"4578_10",0.9618071913719177
"4685_8",0.9712557792663574
"11843_9",0.9536734223365784
"5467_10",0.9760657548904419
"10140_10",0.8484371304512024
"7721_8",0.9457016587257385
"11208_10",0.3262307047843933
"1063_10",0.831066370010376
"8260_10",0.8625521659851074
"3182_9",0.9657099843025208
"2797_8",0.9625658392906189
"7613_2",0.9198583960533142
"11624_4",0.06093188002705574
"4847_10",0.931538462638855
"10684_7",0.36157605051994324
"6312_1",0.34091609716415405
"4925_3",0.035716451704502106
"4125_1",0.017202913761138916
"2394_10",0.9784926772117615
"12105_10",0.8852386474609375
"7812_1",0.026362620294094086
"1061_8",0.8613464832305908
"9343_3",0.790626585483551
"7696_10",0.972115695476532
"9355_10",0.9712700843811035
"782_9",0.9665306210517883
"9882_10",0.969260573387146
"10642_10",0.9266132116317749
"7410_2",0.06074089929461479
"9591_4",0.047914471477270126
"11902_3",0.03483070433139801
"3495_7",0.061478711664676666
"6733_1",0.026881912723183632
"4552_1",0.017583932727575302
"6722_1",0.05088510364294052
"188_10",0.9291641116142273
"5099_10",0.973298966884613
"10313_1",0.08937722444534302
"6756_9",0.9594532251358032
"6622_2",0.04526389017701149
"4807_10",0.9767558574676514
"7173_3",0.11992574483156204
"11321_8",0.5458706617355347
"7909_9",0.1690954566001892
"8012_7",0.03378202021121979
"8615_4",0.07786449790000916
"8117_10",0.9630855321884155
"1892_10",0.9339593648910522
"4617_1",0.09943577647209167
"1893_8",0.9667524695396423
"5435_1",0.0985206589102745
"162_3",0.04610250145196915
"6516_10",0.9784621000289917
"11588_7",0.960442304611206
"2006_1",0.03894093632698059
